Customer Key	Name	Account Balance
270	Customer#000000270	9192.5
1100	Customer#000001100	9189.75
836	Customer#000000836	9184.72
1181	Customer#000001181	9180.5
461	Customer#000000461	9177.63
474	Customer#000000474	9165.47
1436	Customer#000001436	9158.91
1067	Customer#000001067	9153.84
318	Customer#000000318	9149.98
253	Customer#000000253	9139.52
220	Customer#000000220	9131.64
1499	Customer#000001499	9128.69
129	Customer#000000129	9127.27
695	Customer#000000695	9126.54
683	Customer#000000683	9120.93
736	Customer#000000736	9114.68
367	Customer#000000367	9108.65
1325	Customer#000001325	9108.61
1477	Customer#000001477	9103.33
777	Customer#000000777	9097.52
105	Customer#000000105	9091.82
1191	Customer#000001191	9088.54
957	Customer#000000957	9076.68
519	Customer#000000519	9074.45
1449	Customer#000001449	9051.75
475	Customer#000000475	9043.55
1278	Customer#000001278	9038.43
1184	Customer#000001184	9032.89
811	Customer#000000811	9010.02
226	Customer#000000226	9008.61
1282	Customer#000001282	8998.82
1490	Customer#000001490	8997.6
571	Customer#000000571	8993.23
1099	Customer#000001099	8990.07
370	Customer#000000370	8982.79
1275	Customer#000001275	8972.46
1301	Customer#000001301	8966.63
149	Customer#000000149	8959.65
729	Customer#000000729	8947.26
826	Customer#000000826	8938.14
864	Customer#000000864	8932.76
1317	Customer#000001317	8925.08
968	Customer#000000968	8921.97
1047	Customer#000001047	8918.99
19	Customer#000000019	8914.71
1401	Customer#000001401	8908.63
248	Customer#000000248	8908.35
1382	Customer#000001382	8898.67
222	Customer#000000222	8893.76
225	Customer#000000225	8893.2
664	Customer#000000664	8878.22
483	Customer#000000483	8877.2
277	Customer#000000277	8876.1
209	Customer#000000209	8873.46
398	Customer#000000398	8865.61
390	Customer#000000390	8862.18
1054	Customer#000001054	8844.27
1437	Customer#000001437	8839.32
1377	Customer#000001377	8839.15
584	Customer#000000584	8825.71
309	Customer#000000309	8824.78
456	Customer#000000456	8815.78
1182	Customer#000001182	8814.39
1257	Customer#000001257	8810.83
1218	Customer#000001218	8801.73
1174	Customer#000001174	8798.96
65	Customer#000000065	8795.16
878	Customer#000000878	8781.53
327	Customer#000000327	8762.16
1049	Customer#000001049	8747.99
357	Customer#000000357	8747.36
433	Customer#000000433	8746.23
186	Customer#000000186	8737.5
1395	Customer#000001395	8733.39
135	Customer#000000135	8732.91
464	Customer#000000464	8730.85
657	Customer#000000657	8729.97
355	Customer#000000355	8727.9
42	Customer#000000042	8727.01
1311	Customer#000001311	8713.24
485	Customer#000000485	8695.45
712	Customer#000000712	8667.09
1143	Customer#000001143	8655.98
1241	Customer#000001241	8654.56
1097	Customer#000001097	8651.87
1081	Customer#000001081	8647.42
842	Customer#000000842	8635.49
492	Customer#000000492	8635.18
1225	Customer#000001225	8634.92
1127	Customer#000001127	8631.35
1357	Customer#000001357	8627.9
1267	Customer#000001267	8616.12
899	Customer#000000899	8605.53
969	Customer#000000969	8601.63
131	Customer#000000131	8595.53
1345	Customer#000001345	8593.83
34	Customer#000000034	8589.7
1077	Customer#000001077	8581.78
1213	Customer#000001213	8555.12
684	Customer#000000684	8545.9
1387	Customer#000001387	8541.87
933	Customer#000000933	8541.16
717	Customer#000000717	8510.94
247	Customer#000000247	8495.92
392	Customer#000000392	8492.33
1439	Customer#000001439	8487.6
1232	Customer#000001232	8482.51
570	Customer#000000570	8480.87
1347	Customer#000001347	8476.43
567	Customer#000000567	8475.17
224	Customer#000000224	8465.15
102	Customer#000000102	8462.17
1461	Customer#000001461	8460.48
1134	Customer#000001134	8458.26
743	Customer#000000743	8450.37
795	Customer#000000795	8443.18
718	Customer#000000718	8438.4
339	Customer#000000339	8438.07
1206	Customer#000001206	8437.76
465	Customer#000000465	8432.74
1220	Customer#000001220	8429.33
1125	Customer#000001125	8427.55
993	Customer#000000993	8421.87
602	Customer#000000602	8404.9
116	Customer#000000116	8403.99
554	Customer#000000554	8395.57
1422	Customer#000001422	8389.5
234	Customer#000000234	8383.51
1445	Customer#000001445	8367.94
716	Customer#000000716	8364.99
752	Customer#000000752	8363.66
1259	Customer#000001259	8353.0
1018	Customer#000001018	8341.71
1335	Customer#000001335	8341.67
928	Customer#000000928	8330.7
1229	Customer#000001229	8328.12
9	Customer#000000009	8324.07
520	Customer#000000520	8315.09
1343	Customer#000001343	8303.09
1494	Customer#000001494	8292.21
265	Customer#000000265	8275.8
489	Customer#000000489	8255.83
893	Customer#000000893	8250.87
341	Customer#000000341	8247.11
330	Customer#000000330	8244.73
192	Customer#000000192	8239.96
1291	Customer#000001291	8227.37
1073	Customer#000001073	8217.23
635	Customer#000000635	8216.79
1008	Customer#000001008	8191.74
668	Customer#000000668	8184.21
1281	Customer#000001281	8182.42
1165	Customer#000001165	8177.33
496	Customer#000000496	8174.82
1339	Customer#000001339	8167.5
67	Customer#000000067	8166.59
603	Customer#000000603	8161.13
1237	Customer#000001237	8156.62
1210	Customer#000001210	8137.66
898	Customer#000000898	8137.24
1427	Customer#000001427	8136.53
1224	Customer#000001224	8124.15
1128	Customer#000001128	8123.99
697	Customer#000000697	8121.84
448	Customer#000000448	8117.27
756	Customer#000000756	8116.99
753	Customer#000000753	8114.44
1290	Customer#000001290	8108.42
300	Customer#000000300	8084.92
296	Customer#000000296	8081.52
147	Customer#000000147	8071.4
939	Customer#000000939	8059.51
88	Customer#000000088	8031.44
193	Customer#000000193	8024.55
333	Customer#000000333	8018.89
445	Customer#000000445	8018.81
495	Customer#000000495	7997.81
1041	Customer#000001041	7993.98
1072	Customer#000001072	7979.48
1107	Customer#000001107	7961.62
203	Customer#000000203	7960.63
556	Customer#000000556	7944.22
472	Customer#000000472	7929.9
1488	Customer#000001488	7929.51
1442	Customer#000001442	7917.9
1279	Customer#000001279	7915.06
430	Customer#000000430	7905.17
139	Customer#000000139	7897.78
1003	Customer#000001003	7894.0
674	Customer#000000674	7889.64
623	Customer#000000623	7887.6
509	Customer#000000509	7885.5
1337	Customer#000001337	7882.44
122	Customer#000000122	7865.46
137	Customer#000000137	7838.3
974	Customer#000000974	7826.1
585	Customer#000000585	7820.26
426	Customer#000000426	7818.25
1215	Customer#000001215	7795.87
1005	Customer#000001005	7790.94
371	Customer#000000371	7789.14
419	Customer#000000419	7786.69
672	Customer#000000672	7778.95
830	Customer#000000830	7775.65
976	Customer#000000976	7772.85
437	Customer#000000437	7760.52
196	Customer#000000196	7760.33
1448	Customer#000001448	7756.35
988	Customer#000000988	7746.97
1212	Customer#000001212	7736.03
1147	Customer#000001147	7734.64
321	Customer#000000321	7718.77
1428	Customer#000001428	7703.84
170	Customer#000000170	7687.89
612	Customer#000000612	7669.16
269	Customer#000000269	7667.35
447	Customer#000000447	7665.98
896	Customer#000000896	7659.72
1171	Customer#000001171	7658.97
199	Customer#000000199	7654.31
846	Customer#000000846	7650.73
767	Customer#000000767	7647.09
6	Customer#000000006	7638.57
755	Customer#000000755	7631.94
278	Customer#000000278	7621.56
1039	Customer#000001039	7618.54
29	Customer#000000029	7618.27
868	Customer#000000868	7616.48
20	Customer#000000020	7603.4
1455	Customer#000001455	7591.9
1194	Customer#000001194	7582.29
850	Customer#000000850	7576.55
229	Customer#000000229	7568.07
962	Customer#000000962	7557.0
772	Customer#000000772	7555.16
1324	Customer#000001324	7548.88
1417	Customer#000001417	7543.01
943	Customer#000000943	7541.05
857	Customer#000000857	7537.16
405	Customer#000000405	7519.14
637	Customer#000000637	7511.17
115	Customer#000000115	7508.92
545	Customer#000000545	7505.33
1169	Customer#000001169	7503.3
951	Customer#000000951	7499.47
1035	Customer#000001035	7499.36
3	Customer#000000003	7498.12
749	Customer#000000749	7491.42
486	Customer#000000486	7487.4
223	Customer#000000223	7476.2
101	Customer#000000101	7470.96
110	Customer#000000110	7462.99
923	Customer#000000923	7462.2
771	Customer#000000771	7461.74
1287	Customer#000001287	7461.69
994	Customer#000000994	7461.27
177	Customer#000000177	7457.5
361	Customer#000000361	7451.84
1006	Customer#000001006	7447.99
1407	Customer#000001407	7424.99
682	Customer#000000682	7420.6
710	Customer#000000710	7412.12
404	Customer#000000404	7408.73
1113	Customer#000001113	7392.3
80	Customer#000000080	7383.53
399	Customer#000000399	7358.53
90	Customer#000000090	7354.23
1399	Customer#000001399	7352.14
1034	Customer#000001034	7349.82
347	Customer#000000347	7348.92
1007	Customer#000001007	7347.9
1164	Customer#000001164	7341.35
44	Customer#000000044	7315.94
653	Customer#000000653	7307.55
1462	Customer#000001462	7305.88
817	Customer#000000817	7297.64
1421	Customer#000001421	7292.93
1044	Customer#000001044	7291.3
285	Customer#000000285	7276.72
550	Customer#000000550	7270.82
1251	Customer#000001251	7267.76
572	Customer#000000572	7252.65
210	Customer#000000210	7250.14
1424	Customer#000001424	7207.7
1023	Customer#000001023	7188.35
342	Customer#000000342	7186.74
205	Customer#000000205	7161.52
481	Customer#000000481	7157.21
1396	Customer#000001396	7149.43
1443	Customer#000001443	7141.87
1001	Customer#000001001	7140.81
240	Customer#000000240	7139.68
78	Customer#000000078	7136.97
25	Customer#000000025	7133.7
1148	Customer#000001148	7129.84
745	Customer#000000745	7115.14
297	Customer#000000297	7096.32
354	Customer#000000354	7095.95
261	Customer#000000261	7094.22
1452	Customer#000001452	7086.97
587	Customer#000000587	7077.79
421	Customer#000000421	7073.17
828	Customer#000000828	7059.68
577	Customer#000000577	7059.15
979	Customer#000000979	7055.13
1470	Customer#000001470	7033.49
648	Customer#000000648	7029.24
1493	Customer#000001493	7014.12
887	Customer#000000887	7009.42
1398	Customer#000001398	7004.9
856	Customer#000000856	6988.55
990	Customer#000000990	6988.49
1263	Customer#000001263	6975.9
961	Customer#000000961	6963.68
748	Customer#000000748	6959.09
1239	Customer#000001239	6936.72
913	Customer#000000913	6935.16
1020	Customer#000001020	6914.87
1500	Customer#000001500	6910.79
1286	Customer#000001286	6906.08
845	Customer#000000845	6898.89
616	Customer#000000616	6898.65
228	Customer#000000228	6868.12
1272	Customer#000001272	6865.14
455	Customer#000000455	6860.34
806	Customer#000000806	6859.28
68	Customer#000000068	6853.37
824	Customer#000000824	6840.29
335	Customer#000000335	6837.46
860	Customer#000000860	6836.89
408	Customer#000000408	6825.37
268	Customer#000000268	6821.01
8	Customer#000000008	6819.74
1058	Customer#000001058	6807.55
840	Customer#000000840	6799.0
1376	Customer#000001376	6761.52
670	Customer#000000670	6738.93
859	Customer#000000859	6737.18
374	Customer#000000374	6718.78
328	Customer#000000328	6709.9
141	Customer#000000141	6706.14
194	Customer#000000194	6696.49
403	Customer#000000403	6693.36
75	Customer#000000075	6684.1
613	Customer#000000613	6679.75
998	Customer#000000998	6679.2
452	Customer#000000452	6633.7
1288	Customer#000001288	6603.43
311	Customer#000000311	6589.5
493	Customer#000000493	6582.04
693	Customer#000000693	6577.21
241	Customer#000000241	6569.34
505	Customer#000000505	6557.51
932	Customer#000000932	6553.37
360	Customer#000000360	6542.83
1248	Customer#000001248	6539.15
991	Customer#000000991	6533.53
56	Customer#000000056	6530.86
534	Customer#000000534	6520.97
594	Customer#000000594	6518.42
111	Customer#000000111	6505.26
1199	Customer#000001199	6503.35
706	Customer#000000706	6496.08
1255	Customer#000001255	6487.71
58	Customer#000000058	6478.46
1306	Customer#000001306	6464.77
83	Customer#000000083	6463.51
996	Customer#000000996	6450.78
1114	Customer#000001114	6446.83
1429	Customer#000001429	6444.82
121	Customer#000000121	6428.32
144	Customer#000000144	6417.31
1320	Customer#000001320	6407.13
781	Customer#000000781	6403.62
634	Customer#000000634	6397.58
1015	Customer#000001015	6392.0
742	Customer#000000742	6381.24
1196	Customer#000001196	6378.67
1368	Customer#000001368	6376.18
359	Customer#000000359	6375.23
1412	Customer#000001412	6368.38
911	Customer#000000911	6364.6
1030	Customer#000001030	6359.27
522	Customer#000000522	6358.46
888	Customer#000000888	6358.04
1151	Customer#000001151	6354.89
758	Customer#000000758	6352.14
38	Customer#000000038	6345.11
591	Customer#000000591	6344.66
739	Customer#000000739	6344.18
469	Customer#000000469	6343.64
87	Customer#000000087	6327.54
96	Customer#000000096	6323.92
1140	Customer#000001140	6319.21
1432	Customer#000001432	6314.25
564	Customer#000000564	6307.59
678	Customer#000000678	6302.93
494	Customer#000000494	6295.47
953	Customer#000000953	6292.06
1149	Customer#000001149	6287.79
1056	Customer#000001056	6287.12
1243	Customer#000001243	6271.38
382	Customer#000000382	6269.42
162	Customer#000000162	6268.99
866	Customer#000000866	6265.88
39	Customer#000000039	6264.31
352	Customer#000000352	6257.88
726	Customer#000000726	6253.81
1029	Customer#000001029	6252.18
1415	Customer#000001415	6252.12
1153	Customer#000001153	6244.03
208	Customer#000000208	6239.89
1495	Customer#000001495	6227.55
1095	Customer#000001095	6221.26
435	Customer#000000435	6217.46
1168	Customer#000001168	6194.65
417	Customer#000000417	6187.73
644	Customer#000000644	6183.15
578	Customer#000000578	6181.23
1270	Customer#000001270	6170.06
158	Customer#000000158	6160.95
362	Customer#000000362	6149.01
454	Customer#000000454	6134.4
1456	Customer#000001456	6123.69
313	Customer#000000313	6115.81
543	Customer#000000543	6089.13
320	Customer#000000320	6082.74
646	Customer#000000646	6074.42
1297	Customer#000001297	6074.01
547	Customer#000000547	6058.08
412	Customer#000000412	6044.02
1463	Customer#000001463	6039.64
789	Customer#000000789	6038.6
1138	Customer#000001138	6035.44
891	Customer#000000891	6032.18
258	Customer#000000258	6022.27
1129	Customer#000001129	6020.02
1217	Customer#000001217	6019.32
669	Customer#000000669	6019.2
1131	Customer#000001131	6019.1
1157	Customer#000001157	6013.09
1323	Customer#000001323	6006.81
599	Customer#000000599	6004.52
803	Customer#000000803	6003.09
622	Customer#000000622	5974.11
476	Customer#000000476	5973.1
769	Customer#000000769	5950.86
1408	Customer#000001408	5920.09
1419	Customer#000001419	5912.72
155	Customer#000000155	5902.85
942	Customer#000000942	5898.17
123	Customer#000000123	5897.83
436	Customer#000000436	5896.87
1087	Customer#000001087	5878.21
559	Customer#000000559	5872.94
457	Customer#000000457	5867.61
1486	Customer#000001486	5859.97
902	Customer#000000902	5858.48
1043	Customer#000001043	5847.76
815	Customer#000000815	5841.33
514	Customer#000000514	5840.97
521	Customer#000000521	5830.69
1176	Customer#000001176	5827.59
627	Customer#000000627	5826.68
425	Customer#000000425	5824.88
413	Customer#000000413	5817.9
1425	Customer#000001425	5814.72
1318	Customer#000001318	5812.93
1498	Customer#000001498	5810.56
1431	Customer#000001431	5805.81
620	Customer#000000620	5795.15
910	Customer#000000910	5794.69
1203	Customer#000001203	5787.69
907	Customer#000000907	5751.31
76	Customer#000000076	5745.33
625	Customer#000000625	5744.89
46	Customer#000000046	5744.59
954	Customer#000000954	5740.0
507	Customer#000000507	5727.0
378	Customer#000000378	5718.05
471	Customer#000000471	5716.9
432	Customer#000000432	5715.64
967	Customer#000000967	5710.41
524	Customer#000000524	5706.19
848	Customer#000000848	5685.59
642	Customer#000000642	5684.01
765	Customer#000000765	5683.33
867	Customer#000000867	5680.23
1152	Customer#000001152	5680.15
27	Customer#000000027	5679.84
453	Customer#000000453	5678.18
813	Customer#000000813	5673.47
1393	Customer#000001393	5672.05
52	Customer#000000052	5630.28
677	Customer#000000677	5582.63
1261	Customer#000001261	5579.81
1352	Customer#000001352	5570.69
909	Customer#000000909	5565.58
375	Customer#000000375	5562.22
808	Customer#000000808	5561.93
1159	Customer#000001159	5553.75
450	Customer#000000450	5544.42
676	Customer#000000676	5527.61
343	Customer#000000343	5521.36
1124	Customer#000001124	5512.73
1391	Customer#000001391	5510.28
1292	Customer#000001292	5509.11
686	Customer#000000686	5503.36
94	Customer#000000094	5500.11
18	Customer#000000018	5494.43
555	Customer#000000555	5486.52
266	Customer#000000266	5481.0
1397	Customer#000001397	5466.83
1069	Customer#000001069	5465.29
153	Customer#000000153	5454.26
989	Customer#000000989	5453.74
626	Customer#000000626	5447.12
1240	Customer#000001240	5439.44
1438	Customer#000001438	5436.81
533	Customer#000000533	5432.77
1367	Customer#000001367	5420.32
827	Customer#000000827	5411.2
239	Customer#000000239	5398.77
1228	Customer#000001228	5392.3
874	Customer#000000874	5391.74
1205	Customer#000001205	5390.34
236	Customer#000000236	5384.59
299	Customer#000000299	5380.5
720	Customer#000000720	5357.32
1416	Customer#000001416	5348.4
379	Customer#000000379	5348.11
531	Customer#000000531	5342.82
949	Customer#000000949	5340.67
288	Customer#000000288	5339.43
1133	Customer#000001133	5335.36
95	Customer#000000095	5327.38
659	Customer#000000659	5297.68
675	Customer#000000675	5295.26
1085	Customer#000001085	5275.88
863	Customer#000000863	5274.52
14	Customer#000000014	5266.3
31	Customer#000000031	5236.89
460	Customer#000000460	5222.83
1090	Customer#000001090	5212.43
801	Customer#000000801	5207.32
394	Customer#000000394	5200.96
151	Customer#000000151	5187.02
643	Customer#000000643	5184.7
26	Customer#000000026	5182.05
84	Customer#000000084	5174.71
1201	Customer#000001201	5165.39
1268	Customer#000001268	5152.42
1358	Customer#000001358	5149.23
1338	Customer#000001338	5139.0
586	Customer#000000586	5134.35
79	Customer#000000079	5121.28
629	Customer#000000629	5100.77
130	Customer#000000130	5073.58
275	Customer#000000275	5067.31
725	Customer#000000725	5030.24
992	Customer#000000992	5027.75
1256	Customer#000001256	5012.07
687	Customer#000000687	4999.31
1108	Customer#000001108	4997.35
1260	Customer#000001260	4991.59
530	Customer#000000530	4990.92
36	Customer#000000036	4987.27
1160	Customer#000001160	4976.24
544	Customer#000000544	4974.68
1349	Customer#000001349	4967.24
1178	Customer#000001178	4966.58
1132	Customer#000001132	4962.12
628	Customer#000000628	4954.25
1027	Customer#000001027	4946.21
1371	Customer#000001371	4943.58
1037	Customer#000001037	4936.25
1319	Customer#000001319	4910.48
1305	Customer#000001305	4900.66
639	Customer#000000639	4899.15
1484	Customer#000001484	4883.17
582	Customer#000000582	4879.55
1103	Customer#000001103	4878.1
195	Customer#000000195	4873.91
70	Customer#000000070	4867.52
732	Customer#000000732	4830.51
847	Customer#000000847	4822.08
182	Customer#000000182	4810.22
553	Customer#000000553	4804.57
391	Customer#000000391	4801.3
892	Customer#000000892	4799.98
1230	Customer#000001230	4787.85
930	Customer#000000930	4787.2
702	Customer#000000702	4782.05
516	Customer#000000516	4768.96
965	Customer#000000965	4768.8
964	Customer#000000964	4756.58
1211	Customer#000001211	4723.37
730	Customer#000000730	4718.23
658	Customer#000000658	4716.68
651	Customer#000000651	4716.31
1062	Customer#000001062	4709.92
154	Customer#000000154	4695.12
16	Customer#000000016	4681.03
766	Customer#000000766	4677.55
340	Customer#000000340	4667.12
1065	Customer#000001065	4663.41
1329	Customer#000001329	4645.91
91	Customer#000000091	4643.14
201	Customer#000000201	4614.4
134	Customer#000000134	4608.9
1433	Customer#000001433	4605.87
1139	Customer#000001139	4604.83
980	Customer#000000980	4586.33
395	Customer#000000395	4582.28
773	Customer#000000773	4578.24
49	Customer#000000049	4573.94
55	Customer#000000055	4572.11
316	Customer#000000316	4571.78
511	Customer#000000511	4571.31
1304	Customer#000001304	4548.46
666	Customer#000000666	4538.54
1346	Customer#000001346	4524.45
462	Customer#000000462	4522.6
662	Customer#000000662	4517.33
322	Customer#000000322	4489.98
169	Customer#000000169	4483.83
894	Customer#000000894	4483.42
1186	Customer#000001186	4466.3
1183	Customer#000001183	4455.76
972	Customer#000000972	4453.46
283	Customer#000000283	4450.03
527	Customer#000000527	4429.81
274	Customer#000000274	4425.42
1012	Customer#000001012	4422.45
183	Customer#000000183	4419.89
1483	Customer#000001483	4409.7
1402	Customer#000001402	4396.25
539	Customer#000000539	4390.33
1489	Customer#000001489	4389.66
427	Customer#000000427	4376.8
876	Customer#000000876	4367.63
700	Customer#000000700	4367.53
680	Customer#000000680	4366.23
416	Customer#000000416	4365.28
975	Customer#000000975	4364.06
160	Customer#000000160	4363.17
281	Customer#000000281	4361.7
305	Customer#000000305	4356.59
733	Customer#000000733	4351.09
728	Customer#000000728	4349.73
410	Customer#000000410	4349.27
948	Customer#000000948	4346.9
1307	Customer#000001307	4344.52
482	Customer#000000482	4333.37
1469	Customer#000001469	4329.98
1238	Customer#000001238	4299.22
499	Customer#000000499	4293.76
73	Customer#000000073	4288.5
406	Customer#000000406	4286.94
611	Customer#000000611	4272.43
50	Customer#000000050	4266.13
291	Customer#000000291	4261.68
484	Customer#000000484	4245.0
376	Customer#000000376	4231.45
924	Customer#000000924	4212.53
1137	Customer#000001137	4210.15
1146	Customer#000001146	4204.36
211	Customer#000000211	4198.72
1144	Customer#000001144	4189.04
595	Customer#000000595	4177.17
442	Customer#000000442	4157.0
57	Customer#000000057	4151.93
308	Customer#000000308	4150.76
401	Customer#000000401	4146.43
1118	Customer#000001118	4130.18
1361	Customer#000001361	4128.86
53	Customer#000000053	4113.64
338	Customer#000000338	4092.49
947	Customer#000000947	4092.24
99	Customer#000000099	4088.65
829	Customer#000000829	4086.56
929	Customer#000000929	4079.18
1359	Customer#000001359	4069.82
607	Customer#000000607	4038.45
1071	Customer#000001071	4033.56
814	Customer#000000814	4011.18
703	Customer#000000703	3998.42
233	Customer#000000233	3998.24
590	Customer#000000590	3993.54
1405	Customer#000001405	3987.39
1119	Customer#000001119	3971.65
409	Customer#000000409	3969.86
517	Customer#000000517	3959.71
1264	Customer#000001264	3959.28
280	Customer#000000280	3952.84
117	Customer#000000117	3950.83
498	Customer#000000498	3945.64
673	Customer#000000673	3942.58
1121	Customer#000001121	3942.11
512	Customer#000000512	3937.58
525	Customer#000000525	3931.68
1390	Customer#000001390	3931.31
119	Customer#000000119	3930.35
181	Customer#000000181	3929.96
971	Customer#000000971	3914.88
624	Customer#000000624	3907.11
1126	Customer#000001126	3905.97
1298	Customer#000001298	3903.54
1330	Customer#000001330	3893.14
1222	Customer#000001222	3883.18
1471	Customer#000001471	3872.86
922	Customer#000000922	3869.25
912	Customer#000000912	3861.36
13	Customer#000000013	3857.34
150	Customer#000000150	3849.48
1083	Customer#000001083	3847.29
713	Customer#000000713	3829.03
1404	Customer#000001404	3828.46
1468	Customer#000001468	3826.52
198	Customer#000000198	3824.76
298	Customer#000000298	3812.84
1189	Customer#000001189	3798.28
48	Customer#000000048	3792.5
696	Customer#000000696	3778.97
915	Customer#000000915	3776.53
1200	Customer#000001200	3765.05
762	Customer#000000762	3764.9
1491	Customer#000001491	3739.82
443	Customer#000000443	3726.22
1380	Customer#000001380	3723.53
245	Customer#000000245	3720.15
1362	Customer#000001362	3718.92
161	Customer#000000161	3714.06
952	Customer#000000952	3710.14
1002	Customer#000001002	3699.76
1188	Customer#000001188	3698.86
791	Customer#000000791	3694.81
1096	Customer#000001096	3687.37
583	Customer#000000583	3686.07
917	Customer#000000917	3679.65
1353	Customer#000001353	3666.51
636	Customer#000000636	3660.47
479	Customer#000000479	3653.64
575	Customer#000000575	3652.29
921	Customer#000000921	3651.09
609	Customer#000000609	3651.06
936	Customer#000000936	3650.9
1233	Customer#000001233	3649.49
630	Customer#000000630	3649.05
889	Customer#000000889	3635.35
617	Customer#000000617	3625.93
970	Customer#000000970	3623.6
1236	Customer#000001236	3600.95
470	Customer#000000470	3597.53
393	Customer#000000393	3593.57
1321	Customer#000001321	3589.49
1487	Customer#000001487	3589.16
118	Customer#000000118	3582.37
252	Customer#000000252	3561.74
1209	Customer#000001209	3551.21
855	Customer#000000855	3550.49
1155	Customer#000001155	3510.25
1076	Customer#000001076	3509.35
238	Customer#000000238	3482.32
759	Customer#000000759	3477.59
32	Customer#000000032	3471.53
59	Customer#000000059	3458.6
1089	Customer#000001089	3429.95
812	Customer#000000812	3428.67
721	Customer#000000721	3420.64
1280	Customer#000001280	3419.66
351	Customer#000000351	3419.54
387	Customer#000000387	3404.23
831	Customer#000000831	3401.49
12	Customer#000000012	3396.49
854	Customer#000000854	3393.86
1109	Customer#000001109	3387.22
85	Customer#000000085	3386.64
633	Customer#000000633	3385.52
981	Customer#000000981	3383.26
215	Customer#000000215	3379.2
610	Customer#000000610	3374.92
1180	Customer#000001180	3367.36
1454	Customer#000001454	3366.61
1025	Customer#000001025	3363.46
688	Customer#000000688	3354.47
165	Customer#000000165	3349.92
536	Customer#000000536	3342.75
1350	Customer#000001350	3339.51
1179	Customer#000001179	3336.25
1227	Customer#000001227	3335.72
259	Customer#000000259	3335.29
23	Customer#000000023	3332.02
890	Customer#000000890	3329.21
146	Customer#000000146	3328.68
1332	Customer#000001332	3323.04
348	Customer#000000348	3310.49
86	Customer#000000086	3306.32
500	Customer#000000500	3300.82
667	Customer#000000667	3288.76
106	Customer#000000106	3288.42
1252	Customer#000001252	3279.84
1451	Customer#000001451	3274.3
1142	Customer#000001142	3273.08
306	Customer#000000306	3268.01
1080	Customer#000001080	3267.19
959	Customer#000000959	3266.14
1328	Customer#000001328	3264.99
1145	Customer#000001145	3249.25
1082	Customer#000001082	3247.92
598	Customer#000000598	3244.78
581	Customer#000000581	3242.1
563	Customer#000000563	3231.71
